Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
Emily Sonnett,us USA,DF,31,24,24,"2,159",24,0,0,0,0,0,0,4,0,1,1,0.3,1.3,12,67,7,0,0,0,0,0,0.04,0.01,0.06,0.04,0.06,Matches
Ann-Katrin Berger,de GER,GK,35,23,23,"2,067",23,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,7,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches
Jaelin Howell,us USA,MF,25,23,23,"2,065",22.9,3,1,4,3,0,0,7,1,2.7,2.7,0.6,3.3,30,91,49,0.13,0.04,0.17,0.13,0.17,0.12,0.02,0.14,0.12,0.14,Matches
Esther González,es ESP,"FW,MF",32,23,22,"1,911",21.2,13,1,14,11,2,2,2,0,9.4,7.9,2,9.9,29,62,116,0.61,0.05,0.66,0.52,0.57,0.44,0.09,0.54,0.37,0.47,Matches
Jess Carter,eng ENG,DF,27,21,21,"1,739",19.3,0,0,0,0,0,0,1,1,0.1,0.1,0.1,0.2,8,59,7,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,Matches
Lilly Reale,us USA,DF,22,24,20,"1,833",20.4,1,1,2,1,0,0,1,0,1.2,1.2,1.2,2.4,37,96,55,0.05,0.05,0.1,0.05,0.1,0.06,0.06,0.12,0.06,0.12,Matches
Sarah Schupansky,us USA,MF,22,22,16,"1,269",14.1,1,5,6,1,0,0,3,0,1,1,4.4,5.4,9,38,62,0.07,0.35,0.43,0.07,0.43,0.07,0.31,0.38,0.07,0.38,Matches
Bruninha,br BRA,"DF,MF",23,21,14,"1,268",14.1,0,1,1,0,0,0,1,0,0,0,1.4,1.4,22,64,71,0,0.07,0.07,0,0.07,0,0.1,0.1,0,0.1,Matches
Mandy Freeman,us USA,DF,30,20,12,"1,183",13.1,0,1,1,0,0,0,0,1,0,0,0.7,0.7,11,57,17,0,0.08,0.08,0,0.08,0,0.05,0.05,0,0.05,Matches
Nealy Martin,us USA,"MF,DF",27,16,12,"1,060",11.8,0,1,1,0,0,0,2,0,0.2,0.2,0.4,0.6,3,30,11,0,0.08,0.08,0,0.08,0.02,0.04,0.05,0.02,0.05,Matches
Geyse,br BRA,"FW,MF",27,17,12,899,10,2,2,4,2,0,0,3,1,2,2,1,3,29,20,53,0.2,0.2,0.4,0.2,0.4,0.2,0.1,0.3,0.2,0.3,Matches
Gabi Portilho,br BRA,"MF,FW",30,15,11,951,10.6,2,3,5,2,0,0,3,0,1.7,1.7,2.3,4,28,27,90,0.19,0.28,0.47,0.19,0.47,0.16,0.22,0.38,0.16,0.38,Matches
Rose Lavelle,us USA,MF,30,14,11,858,9.5,3,2,5,3,0,0,1,0,2.8,2.8,2.1,4.9,20,59,46,0.31,0.21,0.52,0.31,0.52,0.3,0.22,0.51,0.3,0.51,Matches
Margaret Purce,us USA,"FW,MF",30,18,9,894,9.9,1,1,2,1,0,0,1,0,1.2,1.2,1.8,3,37,24,71,0.1,0.1,0.2,0.1,0.2,0.12,0.18,0.3,0.12,0.3,Matches
Taryn Torres,us USA,MF,26,15,8,762,8.5,0,0,0,0,0,0,3,0,0.4,0.4,0.4,0.8,6,26,7,0,0,0,0,0,0.04,0.05,0.1,0.04,0.1,Matches
Ella Stevens,us USA,MF,27,10,7,645,7.2,0,1,1,0,0,0,2,0,0.9,0.9,1.7,2.6,14,14,40,0,0.14,0.14,0,0.14,0.13,0.24,0.37,0.13,0.37,Matches
Josefine Hasbo,dk DEN,MF,23,7,5,462,5.1,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,1,20,6,0,0,0,0,0,0.02,0,0.03,0.02,0.03,Matches
Jaedyn Shaw,us USA,"FW,MF",20,5,4,366,4.1,1,1,2,1,0,0,0,0,0.6,0.6,1,1.6,3,8,29,0.25,0.25,0.49,0.25,0.49,0.14,0.26,0.4,0.14,0.4,Matches
Katie Stengel,us USA,"FW,MF",33,11,3,372,4.1,1,0,1,1,0,0,0,0,2.2,2.2,0.3,2.5,12,16,24,0.24,0,0.24,0.24,0.24,0.53,0.07,0.6,0.53,0.6,Matches
Tierna Davidson,us USA,DF,27,3,3,223,2.5,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,3,12,0,0,0,0,0,0,0.08,0,0.08,0.08,0.08,Matches
